,Headline,Target
0,Says Republican U.S. Sen. Ron Johnson “called climate change ‘bull----’ during a record heatwave” and “raked in over $700k in fossil fuel cash.”,true
1,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",true
2,Texas' public high school graduation rate is at 90% overall.,true
3,“The four big meat packers are raking in record profits … ”,true
4,"“In Virginia, Black people are eight times (8X) more likely than white people to die of gun homicide.”",true
5,"“Wisconsin's archaic abortion ban is older than 20 states.""",true
6,"""The tax carve out (Ron) Johnson spearheaded overwhelmingly benefited the wealthiest, over small businesses.""",true
7,"In a recent year, the Milwaukee Police Department ""collected more guns per capita off the streets than in New York.”",true
8,"In 2020, when Raphael Warnock ran a campaign ad featuring himself with a beagle, “that wasn’t his dog.”",true
9,"Because of U.S. Senate rules, Democrats need ""more than a majority ... to codify Roe vs. Wade.""",true
10,"The state crime lab under Attorney General Josh Kaul ""is testing significantly less items than former AG Brad Schimel and is still taking longer to test many categories of key items in comparison to Schimel, including DNA.""",true
11,"When the New York State Senate voted to legalize abortion in 1970, 12 Republican senators voted in favor of it.",true
12,“New York leads the U.S. in population loss.”,true
13,We’ve reduced crime to its lowest level in 27 years.,true
14,"Since taking office, Hochul has passed more than 400 new bills",true
15,"Cannabis reform ""is supported by the majority of the residents of our state, including a majority of Republicans.""",true
16,Only 2% of K-12 students would benefit from Iowa’s school voucher bill.,true
17,“Virginia women are paid 80 cents for every dollar paid to Virginia men.”,true
18,"Florida is ""49th in the nation when it comes to (Medicaid) funding” for people with disabilities.",true
19,“We are No. 1 among all large states in having fully vaccinated teenagers. We are No. 2 in all large states for having fully vaccinated five- to 11- year-olds.”,true
20,"""The US has made strides in reducing carbon emissions that other parts of the world have not.""",true
21,"“With the ongoing pandemic, our State Park attendance is at the highest it’s ever been.”",true
22,"""In 2020, more journalists were killed in Mexico than in any other country in the world.""",true
23,"""100,000 Americans died of an overdose in a single year.""",true
24,“More than half of Virginia’s school buildings are older than 50 years.”,true
25,Says he has issued more pardons than “any Wisconsin governor in contemporary history.”,true
26,"""Iowa Republicans have introduced a bill that would put government-installed cameras in every single classroom to livestream school activities for parents to spy on teachers and children.""",true
27,"In Iowa, “since we have put a number of the voting laws into place over the last several years — voter ID is one of those — we've actually seen voter participation increase, even in off-election years.”",true
28,"""The number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020.""",true
29,"“You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die.”",true
30,"Gov. Kim Reynolds, touting $210 million for Iowa broadband, “failed to mention these are actually federal funds approved by Rep. Cindy Axne and signed into law by President Joe Biden.”",true
31,"New York is ""leading the nation with the lowest imprisonment rate of any large state”",true
32,"“Iowa ranks 45th in the U.S. for internet connectivity.""",true
33,“FUN FACT: West Virginia is home to zero billionaires.”,true
34,Says gubernatorial candidate Rebecca Kleefisch “worked with Scott Walker to sign five abortion restrictions into law that took away services and threatened doctors with prison time for providing safe and legal abortions.”,true
35,"The Biden administration ""published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels.""",true
36,"""Southwest Airlines announce they will no longer terminate employees over the mandate.""",true
37,"“The annual Pentagon budget hovers over $750 billion annually, twice that of the much debated Build Back Better Act that costs about $350 billion annually as currently proposed.”",true
38,"“If you look at the hospitalizations at Ruby Memorial in West Virginia, and around the country, 90% to 95% of those hospitalized are unvaccinated.”",true
39,“Overdose deaths in WV are up 45% from the prior year.”,true
